runs_left,balls_left,wickets,total_runs_x,crr,rrr,result
207.0,119.0,10,208.0,6.0,10.436974789915967,0
207.0,118.0,10,208.0,3.0,10.525423728813559,0
207.0,117.0,10,208.0,2.0,10.615384615384615,0
205.0,116.0,10,208.0,4.5,10.60344827586207,0
201.0,115.0,10,208.0,8.4,10.486956521739131,0
197.0,114.0,10,208.0,11.0,10.368421052631579,0
197.0,113.0,10,208.0,9.428571428571429,10.460176991150442,0
197.0,112.0,10,208.0,8.25,10.553571428571429,0
196.0,111.0,10,208.0,8.0,10.594594594594595,0
196.0,110.0,10,208.0,7.2,10.690909090909091,0
196.0,109.0,10,208.0,6.545454545454546,10.788990825688073,0
196.0,108.0,10,208.0,6.0,10.88888888888889,0
196.0,107.0,10,208.0,5.538461538461538,10.990654205607477,0
192.0,106.0,10,208.0,6.857142857142857,10.867924528301886,0
191.0,105.0,10,208.0,6.8,10.914285714285715,0
187.0,104.0,10,208.0,7.875,10.788461538461538,0
186.0,103.0,10,208.0,7.764705882352941,10.83495145631068,0
180.0,102.0,10,208.0,9.333333333333334,10.588235294117647,0
179.0,101.0,10,208.0,9.157894736842104,10.633663366336634,0
173.0,100.0,10,208.0,10.5,10.38,0
171.0,99.0,10,208.0,10.571428571428571,10.363636363636363,0
170.0,98.0,10,208.0,10.363636363636363,10.408163265306122,0
170.0,97.0,10,208.0,9.91304347826087,10.515463917525773,0
169.0,96.0,10,208.0,9.75,10.5625,0
165.0,95.0,10,208.0,10.32,10.421052631578947,0
165.0,95.0,10,208.0,10.32,10.421052631578947,0
165.0,94.0,10,208.0,9.923076923076923,10.53191489361702,0
165.0,93.0,10,208.0,9.555555555555555,10.64516129032258,0
164.0,92.0,10,208.0,9.428571428571429,10.695652173913043,0
164.0,91.0,10,208.0,9.10344827586207,10.813186813186814,0
164.0,90.0,10,208.0,8.8,10.933333333333334,0
160.0,89.0,10,208.0,9.290322580645162,10.786516853932584,0
160.0,89.0,10,208.0,9.290322580645162,10.786516853932584,0
156.0,88.0,10,208.0,9.75,10.636363636363637,0
156.0,87.0,10,208.0,9.454545454545455,10.758620689655173,0
156.0,86.0,9,208.0,9.176470588235293,10.883720930232558,0
154.0,85.0,9,208.0,9.257142857142858,10.870588235294118,0
154.0,84.0,9,208.0,9.0,11.0,0
154.0,83.0,9,208.0,8.756756756756756,11.132530120481928,0
148.0,82.0,9,208.0,9.473684210526315,10.829268292682928,0
148.0,81.0,8,208.0,9.23076923076923,10.962962962962964,0
148.0,80.0,8,208.0,9.0,11.1,0
147.0,79.0,8,208.0,8.926829268292684,11.164556962025317,0
147.0,78.0,8,208.0,8.714285714285714,11.307692307692308,0
143.0,77.0,8,208.0,9.069767441860465,11.142857142857142,0
141.0,76.0,8,208.0,9.136363636363637,11.131578947368421,0
140.0,75.0,8,208.0,9.066666666666666,11.2,0
139.0,74.0,8,208.0,9.0,11.27027027027027,0
138.0,73.0,8,208.0,8.936170212765957,11.342465753424657,0
134.0,72.0,8,208.0,9.25,11.166666666666666,0
133.0,71.0,8,208.0,9.183673469387756,11.23943661971831,0
132.0,70.0,8,208.0,9.12,11.314285714285715,0
132.0,69.0,8,208.0,8.941176470588236,11.478260869565217,0
131.0,68.0,8,208.0,8.884615384615385,11.558823529411764,0
130.0,67.0,8,208.0,8.830188679245284,11.64179104477612,0
124.0,66.0,8,208.0,9.333333333333334,11.272727272727273,0
123.0,65.0,8,208.0,9.272727272727273,11.353846153846154,0
121.0,65.0,8,208.0,9.49090909090909,11.169230769230769,0
117.0,64.0,8,208.0,9.75,10.96875,0
116.0,63.0,8,208.0,9.68421052631579,11.047619047619047,0
115.0,62.0,8,208.0,9.620689655172415,11.129032258064516,0
115.0,61.0,8,208.0,9.457627118644067,11.311475409836065,0
114.0,60.0,8,208.0,9.4,11.4,0
110.0,59.0,8,208.0,9.639344262295081,11.186440677966102,0
109.0,59.0,8,208.0,9.737704918032787,11.084745762711865,0
108.0,58.0,8,208.0,9.67741935483871,11.172413793103448,0
107.0,57.0,8,208.0,9.619047619047619,11.263157894736842,0
106.0,56.0,8,208.0,9.5625,11.357142857142858,0
102.0,55.0,8,208.0,9.784615384615385,11.127272727272727,0
98.0,54.0,8,208.0,10.0,10.88888888888889,0
97.0,53.0,8,208.0,9.940298507462687,10.981132075471699,0
96.0,53.0,8,208.0,10.029850746268657,10.867924528301886,0
94.0,52.0,8,208.0,10.058823529411764,10.846153846153847,0
93.0,51.0,8,208.0,10.0,10.941176470588236,0
92.0,50.0,7,208.0,9.942857142857143,11.04,0
91.0,49.0,7,208.0,9.887323943661972,11.142857142857142,0
90.0,48.0,7,208.0,9.833333333333334,11.25,0
89.0,47.0,7,208.0,9.780821917808218,11.361702127659575,0
87.0,46.0,7,208.0,9.81081081081081,11.347826086956522,0
86.0,45.0,7,208.0,9.76,11.466666666666667,0
82.0,44.0,7,208.0,9.947368421052632,11.181818181818182,0
82.0,43.0,6,208.0,9.818181818181818,11.44186046511628,0
82.0,42.0,6,208.0,9.692307692307692,11.714285714285714,0
82.0,41.0,6,208.0,9.569620253164556,12.0,0
81.0,40.0,6,208.0,9.525,12.15,0
80.0,39.0,6,208.0,9.481481481481481,12.307692307692308,0
80.0,38.0,5,208.0,9.365853658536585,12.631578947368421,0
79.0,37.0,5,208.0,9.325301204819278,12.81081081081081,0
78.0,36.0,5,208.0,9.285714285714286,13.0,0
77.0,35.0,5,208.0,9.24705882352941,13.2,0
76.0,34.0,5,208.0,9.209302325581396,13.411764705882353,0
